Date,Open,High,Low,Close,Adj Close,Volume
01/13/2016,75.849998,77.059998,74.940002,75.650002,68.977959,26052700
01/14/2016,76.209999,79.919998,75.800003,79.120003,72.141922,33806700
01/15/2016,76.330002,78.169998,76.300003,77.580002,70.737747,27985300
01/19/2016,77.93,78.239998,75.190002,76.400002,69.661819,22684500
01/20/2016,75.07,75.720001,71.550003,73.18,66.725807,33300800
01/21/2016,73.160004,74.989998,72.610001,74.099998,67.564667,22265600
01/22/2016,76.419998,76.769997,74.720001,76.57,69.816811,22530300
01/25/2016,75.75,76.339996,73.900002,73.980003,67.455246,17086600
01/26/2016,74.769997,76.769997,74.25,76.699997,69.935356,18724700
01/27/2016,76,77.470001,74.720001,75.290001,68.649719,18106100
01/28/2016,77.349998,77.660004,75.620003,76.989998,70.199776,16157700
01/29/2016,76.730003,77.849998,76.25,77.849998,70.983932,25161900
02/01/2016,76.660004,76.790001,75.440002,76.290001,69.561523,16754200
02/02/2016,74.190002,75.620003,73.550003,74.589996,68.011444,21404200
02/03/2016,75.529999,78.529999,74.260002,78.480003,71.558365,25873700
02/04/2016,78.580002,80,77.559998,79.830002,72.789307,23658700
02/05/2016,79.400002,80.099998,78.57,80.080002,73.01725,26719900
02/08/2016,79.300003,81.779999,78.910004,81.160004,74.001999,26601200
02/09/2016,79.980003,80.669998,78.690002,80.080002,73.67997,18418100
02/10/2016,79.769997,81.449997,79.279999,79.349998,73.008324,16610900
02/11/2016,78.339996,80.150002,77.580002,79.599998,73.238327,19331600
02/12/2016,80.080002,81.07,79.809998,81.029999,74.554054,16767200
02/16/2016,81.699997,81.849998,80.279999,81.220001,74.728859,15912200
02/17/2016,81.650002,82.779999,81.160004,82,75.446518,17006700
02/18/2016,82.900002,83.059998,81.860001,82.449997,75.860558,14873700
02/19/2016,82.190002,82.550003,80.910004,82.5,75.906563,13615900
02/22/2016,82.5,83.440002,82.199997,82.389999,75.805359,14595200
02/23/2016,81.989998,82.370003,80.879997,81.230003,74.73806,11041600
02/24/2016,79.910004,81.769997,79.669998,81.519997,75.004883,13777500
02/25/2016,81.559998,82.07,80.019997,82.010002,75.455727,13706400
02/26/2016,82.889999,83.080002,81.690002,81.75,75.216499,14343300
02/29/2016,81.879997,82.400002,80.050003,80.150002,73.744385,18903600
03/01/2016,80.559998,81.769997,80.32,81.279999,74.784065,15730600
03/02/2016,80.949997,82.720001,80.309998,82.699997,76.090584,14094400
03/03/2016,82.660004,82.720001,81.540001,82.400002,75.814545,13216200
03/04/2016,82.660004,82.970001,81.760002,82.290001,75.713348,18402700
03/07/2016,82.309998,84.459999,82.209999,84.459999,77.709915,18945600
03/08/2016,84,84.209999,82.480003,82.629997,76.026176,14003900
03/09/2016,83.220001,83.849998,82.239998,82.400002,75.814545,14139300
03/10/2016,82.419998,82.660004,80.93,82.18,75.612137,15898300
03/11/2016,83.220001,83.529999,82.010002,82.190002,75.621353,15370200
03/14/2016,81.480003,82.639999,81.019997,82.410004,75.823753,13344600
03/15/2016,81.599998,82.849998,81.519997,82.82,76.200989,9213000
03/16/2016,83.019997,83.160004,81.940002,82.870003,76.246994,11492100
03/17/2016,83.68,84.68,82.720001,84.099998,77.378693,13673900
03/18/2016,84.589996,84.599998,83.25,84.199997,77.470695,19637000
03/21/2016,83.839996,84.139999,83.5,83.620003,76.937065,8385400
03/22/2016,83.080002,84.860001,83.010002,84.120003,77.397095,13005100
03/23/2016,83.860001,84.300003,83.519997,83.75,77.056664,12748900
03/24/2016,82.940002,84.029999,82.93,83.980003,77.268295,9368300
03/28/2016,84.029999,84.360001,83.699997,84.220001,77.489105,7490400
03/29/2016,83.669998,84.610001,83.160004,84.529999,77.77433,9977900
03/30/2016,85.029999,85.050003,84,84.519997,77.765129,10807000
03/31/2016,84.07,85.099998,83.589996,83.589996,76.909454,13896900
04/01/2016,82.400002,83.389999,82.389999,82.959999,76.329803,12235300
04/04/2016,83.059998,83.900002,82.779999,83.160004,76.513817,8050200
04/05/2016,82.610001,83.129997,81.989998,82.209999,75.639755,10446800
04/06/2016,82.690002,83.459999,82.300003,83.309998,76.651825,9320200
04/07/2016,82.760002,83.169998,82.050003,82.370003,75.786972,8267100
04/08/2016,83.300003,83.449997,82.849998,83.209999,76.559822,9376200
04/11/2016,83.330002,84.239998,83.279999,83.32,76.661026,9925000
04/12/2016,83.690002,84.629997,83.370003,84.349998,77.608704,9986100
04/13/2016,84.5,84.910004,84.040001,84.830002,78.050346,9235700
04/14/2016,85,85.900002,84.760002,85.43,78.602402,10625800
04/15/2016,85.300003,85.660004,84.779999,84.970001,78.179169,11280200
04/18/2016,84.970001,85.860001,83.860001,85.779999,78.924423,9032900
04/19/2016,85.849998,86.309998,85.220001,86.209999,79.320061,10354500
04/20/2016,86.230003,87.440002,85.970001,86.800003,79.862907,15247100
04/21/2016,86.589996,87.839996,86.57,86.790001,79.853714,12075300
04/22/2016,87.239998,87.639999,86.82,87.529999,80.534561,9150800
04/25/2016,87.089996,87.400002,86.349998,87.330002,80.350555,8076400
04/26/2016,87.75,87.940002,87.059998,87.629997,80.626572,9425900
04/27/2016,87.949997,88.720001,87.330002,88.459999,81.390236,10463500
04/28/2016,87.860001,88.779999,87.5,88.029999,80.994598,11276200
04/29/2016,88.68,89.779999,87.739998,88.400002,81.33503,17885900
05/02/2016,88.239998,89.480003,88.080002,89.129997,82.006683,10273700
05/03/2016,88.400002,88.629997,87.360001,88.110001,81.068214,9944600
05/04/2016,88.300003,88.739998,87.599998,87.940002,80.911797,10601100
05/05/2016,88.760002,88.970001,87.620003,88.040001,81.003815,8721100
05/06/2016,87.459999,88.68,87.459999,88.510002,81.436249,7964000
05/09/2016,88.599998,88.760002,87.230003,88.57,81.491455,11159500
05/10/2016,88.900002,90,88.82,89.989998,82.797951,12509100
05/11/2016,89.160004,89.68,88.720001,88.809998,82.398994,11660200
05/12/2016,89.800003,89.93,89.150002,89.669998,83.196915,10720500
05/13/2016,89.279999,89.660004,88.510002,88.660004,82.259827,9721100
05/16/2016,89.199997,89.669998,89,89.57,83.104134,8638700
05/17/2016,89.269997,89.910004,89.160004,89.529999,83.067024,9835600
05/18/2016,89.800003,90,88.650002,89.349998,82.900017,9680300
05/19/2016,88.610001,90.160004,88.449997,90.110001,83.605164,14397900
05/20/2016,90.389999,90.400002,89.379997,89.739998,83.261864,13191900
05/23/2016,89,89.900002,88.82,89.599998,83.131973,11766100
05/24/2016,89.889999,90.400002,89.550003,89.669998,83.196915,10056600
05/25/2016,89.849998,90.370003,89.589996,90.260002,83.744339,9578400
05/26/2016,90.25,90.459999,89.269997,89.800003,83.317535,7867900
05/27/2016,89.400002,90.050003,89.32,90.010002,83.512375,7478100
05/31/2016,90,90.199997,88.730003,89.019997,82.593834,13178800
06/01/2016,88.43,89.449997,88.129997,89.239998,82.797958,7994800
06/02/2016,88.209999,88.529999,87.610001,88.529999,82.139206,9837500
06/03/2016,88.440002,88.830002,88.029999,88.370003,81.990768,9308300
06/06/2016,88.870003,89.5,88.690002,89.339996,82.890739,8573000
06/07/2016,89.75,90.919998,89.709999,90.709999,84.161835,12889100
06/08/2016,91.029999,91.300003,90.529999,90.790001,84.236076,9983000
06/09/2016,90.18,91.029999,90.110001,90.669998,84.124733,8974300
06/10/2016,90.400002,90.919998,89.779999,89.980003,83.484535,10353800
06/13/2016,89.919998,91.43,89.699997,90.589996,84.050507,11370000
06/14/2016,90.449997,90.870003,89.849998,90.43,83.902061,10161000
06/15/2016,90.230003,90.900002,90,90.160004,83.651566,10655800
06/16/2016,89.699997,91.389999,89.110001,91.220001,84.635033,12824800
06/17/2016,91.489998,91.589996,90.190002,90.720001,84.171127,17483200
06/20/2016,91.290001,91.589996,91.07,91.120003,84.542244,9388500
06/21/2016,90.720001,91.639999,90.25,91.529999,84.922653,8557500
06/22/2016,91.839996,91.93,91.010002,91.169998,84.588631,8785400
06/23/2016,91.93,92.07,91.190002,91.800003,85.173172,9464500
06/24/2016,89.879997,90.800003,89.150002,89.389999,82.937134,20010500
06/27/2016,88.900002,89.099998,88.110001,88.860001,82.445396,14169400
06/28/2016,89.730003,90.93,89.519997,90.910004,84.347412,13254300
06/29/2016,91.410004,92.699997,91.120003,92.459999,85.785515,13920600
06/30/2016,92.330002,93.830002,92.300003,93.739998,86.973114,14073700
07/01/2016,93.360001,93.980003,93.07,93.839996,87.065887,9946300
07/05/2016,93.120003,93.599998,92.25,93.019997,86.305084,10744100
07/06/2016,93.349998,94.120003,92.440002,94.089996,87.297859,13144400
07/07/2016,94.339996,94.489998,92.349998,92.959999,86.24942,12240700
07/08/2016,93.389999,93.779999,92.919998,93.540001,86.787552,9807600
07/11/2016,93.75,94.410004,93.650002,93.889999,87.112289,8335700
07/12/2016,94.669998,94.949997,94.089996,94.949997,88.095764,9870800
07/13/2016,94.650002,94.919998,94.110001,94.879997,88.030823,9458200
07/14/2016,95.050003,95.529999,94.620003,94.949997,88.095764,9293500
07/15/2016,95.440002,95.550003,94.639999,95.120003,88.253502,10334500
07/18/2016,94.919998,95.150002,94.400002,94.82,87.975159,9865900
07/19/2016,94.760002,94.940002,94.199997,94.470001,87.650421,5901800
07/20/2016,94.25,94.419998,93.800003,93.93,87.149399,7383800
07/21/2016,93.889999,94.260002,93.459999,93.849998,87.075172,6854600
07/22/2016,94.110001,94.290001,93.720001,94.010002,87.223625,7139700
07/25/2016,93.470001,93.620003,91.760002,92.199997,85.544296,10845900
07/26/2016,91.629997,92.029999,91.110001,91.529999,84.922653,12143500
07/27/2016,91.510002,91.809998,90.629997,90.910004,84.347412,10037900
07/28/2016,90.540001,90.730003,89.610001,90.199997,83.688667,12439200
07/29/2016,87.610001,89.010002,86.120003,88.949997,82.528885,23928100
08/01/2016,88.080002,88.150002,85.589996,85.860001,79.661964,22908400
08/02/2016,86.449997,87.32,85.580002,87.040001,80.756775,18919200
08/03/2016,87.010002,87.489998,86.599998,87.489998,81.174286,14632900
08/04/2016,87.5,87.650002,87.029999,87.480003,81.165016,13451400
08/05/2016,87.730003,87.830002,87.150002,87.559998,81.239227,9617300
08/08/2016,88.050003,88.889999,88.029999,88.589996,82.194878,10492700
08/09/2016,88.620003,88.760002,88.18,88.699997,82.296944,9654600
08/10/2016,87.779999,87.919998,86.010002,86.410004,80.855927,12714800
08/11/2016,86.690002,87.269997,86.260002,86.720001,81.146004,11616000
08/12/2016,86.959999,87.980003,86.900002,87.849998,82.203369,9986900
08/15/2016,88.419998,88.5,87.639999,87.809998,82.165932,6432600
08/16/2016,87.830002,88.18,87.370003,87.919998,82.268867,6817900
08/17/2016,87.919998,88.18,87.660004,88.110001,82.446663,7104600
08/18/2016,88.379997,88.940002,88.120003,88.910004,83.195244,10342700
08/19/2016,88.629997,88.739998,87.790001,87.800003,82.156593,8615300
08/22/2016,87.309998,88.099998,86.849998,87.989998,82.334366,8235400
08/23/2016,87.839996,88.019997,87.559998,87.720001,82.081726,6514800
08/24/2016,87.5,88.160004,87.349998,88.019997,82.362434,7985400
08/25/2016,88.019997,88.029999,87.239998,87.459999,81.83844,6935300
08/26/2016,87.629997,88.110001,87,87.269997,81.660645,6474400
08/29/2016,87.040001,87.919998,87.040001,87.839996,82.194008,7027200
08/30/2016,87.870003,88.25,87.370003,87.519997,81.894585,6441100
08/31/2016,87.139999,87.209999,86.220001,87.139999,81.539009,12491400
09/01/2016,86.720001,86.839996,86.089996,86.839996,81.258286,8434700
09/02/2016,87.419998,87.580002,86.93,87.419998,81.801003,7099600
09/06/2016,87.839996,88.639999,87.660004,88.57,82.87709,9851200
09/07/2016,88.650002,88.669998,87.970001,88.239998,82.568314,7470400
09/08/2016,88.550003,89.370003,88.040001,89.050003,83.326233,9579500
09/09/2016,88.660004,88.660004,86.800003,86.839996,81.258286,12820200
09/12/2016,86.779999,87.709999,86.629997,87.290001,81.679367,10889000
09/13/2016,86.459999,86.470001,85.080002,85.209999,79.733055,13214300
09/14/2016,85.040001,85.830002,84.269997,84.599998,79.162277,13957000
09/15/2016,84.669998,85.650002,84.519997,85.080002,79.61142,9062600
09/16/2016,84.510002,85.050003,83.559998,84.029999,78.628914,21538400
09/19/2016,84.580002,84.620003,83.809998,83.830002,78.441757,7929100
09/20/2016,83.730003,83.949997,82.540001,82.540001,77.23468,17522000
09/21/2016,82.82,83.620003,82.309998,83.300003,77.945831,15055900
09/22/2016,84.279999,84.550003,83.379997,83.540001,78.170403,10738500
09/23/2016,82.68,84.309998,82.589996,83.449997,78.086189,12667100
09/26/2016,83.519997,84.5,82.93,83.059998,77.721245,10860300
09/27/2016,82.589996,83.339996,82.290001,83.239998,77.889687,9595000
09/28/2016,83.459999,87.230003,83.339996,86.900002,81.314423,28117900
09/29/2016,86.970001,87.199997,85.68,86.459999,80.902718,19082900
09/30/2016,86.839996,87.809998,86.650002,87.279999,81.669998,15961500
10/03/2016,86.940002,87.199997,86.540001,87.050003,81.454796,7111200
10/04/2016,87.379997,87.5,86.07,86.25,80.706215,8222000
10/05/2016,86.830002,87.169998,86.699997,87,81.408012,8796200
10/06/2016,87.25,87.470001,86.440002,87.040001,81.445435,7718300
10/07/2016,86.949997,87.400002,86.419998,86.739998,81.164719,6614900
10/10/2016,87.540001,88.669998,87.510002,88.440002,82.755455,10060000
10/11/2016,88.080002,88.190002,87.300003,87.739998,82.100441,9309000
10/12/2016,87.220001,87.720001,86.669998,87.129997,81.529648,8172600
10/13/2016,86.349998,86.870003,85.43,86.559998,80.996277,9890300
10/14/2016,87.190002,87.540001,86.480003,86.540001,80.97757,7991700
10/17/2016,86.480003,86.790001,86.07,86.540001,80.97757,7263100
10/18/2016,87.169998,87.330002,86.379997,86.769997,81.19278,5429300
